"empnum2","team2","date","score1","score2","flag1","flag2"
10002,"Team M",2021-10-26,118.789233712504,4,0,"No"
10003,"Team N",2021-06-01,112.835476371959,2,0,"Yes"
10003,"Team N",2021-06-08,112.086271606347,2,0,"No"
10003,"Team N",2021-06-15,111.411845474772,4,0,"Yes"
10003,"Team N",2021-06-22,115.707682586643,6,0,"Yes"
10003,"Team N",2021-06-29,114.826044282216,3,0,"Yes"
10003,"Team N",2021-07-06,114.10893591567,8,0,"No"
10003,"Team N",2021-07-13,114.358082838854,6,0,"No"
10003,"Team N",2021-07-20,115.419814468748,3,0,"No"
10003,"Team N",2021-07-27,115.869114097797,3,0,"Yes"
10003,"Team N",2021-08-03,116.556896932767,4,0,"Yes"
10003,"Team N",2021-08-10,115.972729643919,4,0,"Yes"
10003,"Team N",2021-08-17,113.775649573117,0,0,"Yes"
10003,"Team N",2021-08-24,115.164268652297,4,0,"Yes"
10003,"Team N",2021-08-31,113.005020214526,5,0,"No"
10003,"Team N",2021-09-07,115.320627083478,5,0,"Yes"
10003,"Team N",2021-09-14,116.487473284201,3,1,"Yes"
10003,"Team N",2021-09-21,117.591748661854,3,0,"Yes"
10003,"Team N",2021-09-28,116.309576884387,4,0,"Yes"
10003,"Team N",2021-10-05,115.846516895343,7,0,"Yes"
10003,"Team N",2021-10-12,116.342302066488,2,0,"No"
10003,"Team N",2021-10-19,119.270187566388,3,0,"Yes"
10003,"Team N",2021-10-26,117.856905053204,4,0,"Yes"
10004,"Team J",2021-06-01,109.016973332007,4,0,"No"
10004,"Team J",2021-06-08,111.534354928915,7,0,"No"
10004,"Team J",2021-06-15,113.391748891687,2,0,"Yes"
10004,"Team J",2021-06-22,113.470839032769,8,0,"Yes"
10004,"Team J",2021-06-29,114.767163534827,4,0,"No"
10004,"Team J",2021-07-06,116.827588347194,4,0,"Yes"
10004,"Team J",2021-07-13,114.018161586914,5,0,"Yes"
10004,"Team J",2021-07-20,116.901848749689,8,0,"No"
10004,"Team J",2021-07-27,114.966624895213,6,0,"Yes"
10004,"Team J",2021-08-03,116.676853602263,7,0,"Yes"
10004,"Team J",2021-08-10,115.271816890752,4,0,"Yes"
10004,"Team J",2021-08-17,115.285933933891,6,0,"Yes"
10004,"Team J",2021-08-24,115.646812979196,8,0,"No"
10004,"Team J",2021-08-31,115.889343257643,9,0,"Yes"
10004,"Team J",2021-09-07,114.825335800994,6,0,"Yes"
10004,"Team J",2021-09-14,115.387726945829,5,0,"Yes"
10004,"Team J",2021-09-21,119.28572640008,6,0,"No"
10004,"Team J",2021-09-28,115.176406298056,6,0,"Yes"
10004,"Team J",2021-10-05,117.203252955943,9,0,"Yes"
10004,"Team J",2021-10-12,118.036331916198,6,1,"Yes"
10004,"Team J",2021-10-19,118.661042275352,2,0,"Yes"
10004,"Team J",2021-10-26,120.40212878261,6,1,"Yes"
10005,"Team G",2021-06-01,111.637303780576,9,0,"Yes"
10005,"Team G",2021-06-08,113.315241395761,4,0,"Yes"
10005,"Team G",2021-06-15,113.723170124989,4,0,"No"
10005,"Team G",2021-06-22,114.61931087135,6,0,"Yes"
10005,"Team G",2021-06-29,115.777801201249,4,0,"Yes"
10005,"Team G",2021-07-06,114.789954246825,2,0,"Yes"
10005,"Team G",2021-07-13,113.561385175992,4,0,"Yes"
10005,"Team G",2021-07-20,115.38496707089,4,0,"Yes"
10005,"Team G",2021-07-27,117.168154195967,6,0,"Yes"
10005,"Team G",2021-08-03,113.555873992061,3,0,"Yes"
10005,"Team G",2021-08-10,113.729694011362,2,0,"Yes"
10005,"Team G",2021-08-17,114.549643858775,0,0,"Yes"
10005,"Team G",2021-08-24,116.173462955935,3,0,"Yes"
10005,"Team G",2021-08-31,113.38736406778,7,0,"Yes"
10005,"Team G",2021-09-07,115.75787865322,6,1,"No"
10005,"Team G",2021-09-14,116.339752175799,7,0,"No"
10005,"Team G",2021-09-21,119.125215237428,2,0,"Yes"
10005,"Team G",2021-09-28,116.379854612477,8,0,"Yes"
10005,"Team G",2021-10-05,116.108139476238,5,0,"Yes"
10005,"Team G",2021-10-12,118.764104129827,6,0,"Yes"
10005,"Team G",2021-10-19,120.172561880534,4,0,"No"
10005,"Team G",2021-10-26,117.854868406523,3,0,"No"
10006,"Team C",2021-06-01,111.086107649233,10,0,"Yes"
10006,"Team C",2021-06-08,111.154426938811,5,0,"Yes"
10006,"Team C",2021-06-15,113.261940369102,1,0,"Yes"
10006,"Team C",2021-06-22,115.210774759239,1,0,"Yes"
10006,"Team C",2021-06-29,114.682743439901,4,0,"Yes"
10006,"Team C",2021-07-06,116.732485835774,2,0,"Yes"
10006,"Team C",2021-07-13,114.401374063948,4,0,"Yes"
10006,"Team C",2021-07-20,115.893000824328,4,1,"No"
10006,"Team C",2021-07-27,117.196284446515,4,0,"No"
10006,"Team C",2021-08-03,116.009746169274,5,0,"No"
10006,"Team C",2021-08-10,116.264838016589,2,0,"Yes"
10006,"Team C",2021-08-17,114.812400128751,3,0,"Yes"
10006,"Team C",2021-08-24,115.293793251915,3,0,"Yes"
10006,"Team C",2021-08-31,117.011882172627,4,0,"No"
10006,"Team C",2021-09-07,116.924672146932,6,0,"No"
10006,"Team C",2021-09-14,114.619541533041,5,0,"Yes"
10006,"Team C",2021-09-21,115.984233598952,6,0,"Yes"
10006,"Team C",2021-09-28,115.338288013343,6,0,"Yes"
10006,"Team C",2021-10-05,115.507116230189,4,0,"No"
10006,"Team C",2021-10-12,116.506926303098,9,0,"No"
10006,"Team C",2021-10-19,118.092304612604,0,0,"Yes"
10006,"Team C",2021-10-26,120.877235346628,6,0,"Yes"
10007,"Team T",2021-06-01,111.602236164304,2,0,"Yes"
10007,"Team T",2021-06-08,112.136208564633,5,0,"No"
10007,"Team T",2021-06-15,113.962376704413,4,0,"Yes"
10007,"Team T",2021-06-22,114.626787123633,6,0,"Yes"
10007,"Team T",2021-06-29,114.679666594844,6,0,"Yes"
10007,"Team T",2021-07-06,115.671313147854,2,0,"Yes"
10007,"Team T",2021-07-13,114.467431387605,6,0,"Yes"
10007,"Team T",2021-07-20,113.983412448467,4,0,"Yes"
10007,"Team T",2021-07-27,114.56031938519,3,0,"Yes"
10007,"Team T",2021-08-03,114.607152799065,2,0,"Yes"
10007,"Team T",2021-08-10,116.472811566994,7,0,"No"
10007,"Team T",2021-08-17,114.731249341533,6,0,"Yes"
10007,"Team T",2021-08-24,112.827967201514,2,0,"Yes"
10007,"Team T",2021-08-31,115.967802140209,7,0,"Yes"
10007,"Team T",2021-09-07,114.821052250289,3,0,"Yes"
10007,"Team T",2021-09-14,115.344880774241,6,0,"Yes"
10007,"Team T",2021-09-21,116.537463718492,4,1,"Yes"
10007,"Team T",2021-09-28,117.185140473766,5,0,"Yes"
10007,"Team T",2021-10-05,116.381637516674,5,0,"Yes"
10007,"Team T",2021-10-12,118.857313931249,6,0,"No"
10007,"Team T",2021-10-19,119.20537629319,4,0,"Yes"
10007,"Team T",2021-10-26,120.072871494968,5,0,"Yes"
10008,"Team M",2021-06-01,110.244917128738,4,0,"No"
10008,"Team M",2021-06-08,112.238434074935,7,0,"Yes"
10008,"Team M",2021-06-15,112.631586265516,6,0,"Yes"
10008,"Team M",2021-06-22,114.176617420015,5,0,"Yes"
10008,"Team M",2021-06-29,113.357636280149,2,0,"No"
10008,"Team M",2021-07-06,114.302780424893,3,1,"Yes"
10008,"Team M",2021-07-13,116.746358653167,11,0,"Yes"
10008,"Team M",2021-07-20,115.147784078129,5,0,"Yes"
10008,"Team M",2021-07-27,117.39184876519,8,0,"Yes"
10008,"Team M",2021-08-03,116.070805522599,3,0,"Yes"
10008,"Team M",2021-08-10,114.672886143431,4,0,"No"
10008,"Team M",2021-08-17,115.739314038807,2,0,"No"
10008,"Team M",2021-08-24,116.08383593163,7,0,"Yes"
10008,"Team M",2021-08-31,114.707579069726,5,0,"Yes"
10008,"Team M",2021-09-07,113.717745098059,2,0,"Yes"
10008,"Team M",2021-09-14,115.344490289108,7,0,"Yes"
10008,"Team M",2021-09-21,114.648166536538,3,0,"Yes"
10008,"Team M",2021-09-28,114.805115283263,5,0,"Yes"
10008,"Team M",2021-10-05,117.203116943693,8,0,"Yes"
10008,"Team M",2021-10-12,119.036469077898,9,0,"No"
10008,"Team M",2021-10-19,118.659271552974,4,0,"No"
10008,"Team M",2021-10-26,119.968040410122,3,0,"Yes"
10009,"Team H",2021-06-01,101.652106622479,1,0,"Yes"
10009,"Team H",2021-06-08,103.475690926264,2,0,"Yes"
10009,"Team H",2021-06-15,101.092404101786,6,0,"Yes"
10009,"Team H",2021-06-22,102.706622758075,3,0,"Yes"
10009,"Team H",2021-06-29,103.263497393875,1,0,"Yes"
10009,"Team H",2021-07-06,106.385566842701,5,0,"Yes"
10009,"Team H",2021-07-13,105.144202103342,2,0,"Yes"
10009,"Team H",2021-07-20,105.545454890863,7,0,"Yes"
10009,"Team H",2021-07-27,105.887270620607,5,1,"No"
10009,"Team H",2021-08-03,108.038873958347,5,0,"No"
10009,"Team H",2021-08-10,107.920196440693,6,0,"Yes"
10009,"Team H",2021-08-17,107.128604348359,5,0,"Yes"
10009,"Team H",2021-08-24,102.646575570367,4,0,"Yes"
10009,"Team H",2021-08-31,104.373068767976,4,0,"No"
10009,"Team H",2021-09-07,105.045483355787,5,0,"Yes"
10009,"Team H",2021-09-14,104.79845787734,7,0,"Yes"
10009,"Team H",2021-09-21,105.133730780447,2,0,"Yes"
10009,"Team H",2021-09-28,105.017800752041,5,0,"No"
10009,"Team H",2021-10-05,108.106382248381,3,0,"No"
10009,"Team H",2021-10-12,106.254126996912,4,0,"Yes"
10009,"Team H",2021-10-19,109.027920497979,4,0,"Yes"
10009,"Team H",2021-10-26,109.959807221006,7,0,"No"
10010,"Team D",2021-06-01,112.207060706301,5,1,"Yes"
10010,"Team D",2021-06-08,110.724014988765,6,0,"Yes"
10010,"Team D",2021-06-15,112.815235304347,7,0,"Yes"
10010,"Team D",2021-06-22,113.351967835151,5,0,"Yes"
10010,"Team D",2021-06-29,115.178795001787,6,0,"No"
10010,"Team D",2021-07-06,116.454602779862,5,0,"Yes"
10010,"Team D",2021-07-13,115.102671133853,3,0,"Yes"
10010,"Team D",2021-07-20,118.138408584916,3,1,"Yes"
10010,"Team D",2021-07-27,115.450058038861,3,0,"No"
10010,"Team D",2021-08-03,115.83345219082,5,0,"Yes"
10010,"Team D",2021-08-10,114.355345429832,4,0,"No"
10010,"Team D",2021-08-17,114.339299946888,5,0,"Yes"
10010,"Team D",2021-08-24,115.091270088437,6,0,"Yes"
10010,"Team D",2021-08-31,114.864718469702,7,0,"Yes"
10010,"Team D",2021-09-07,115.156956304276,4,0,"Yes"
10010,"Team D",2021-09-14,116.713393340088,5,0,"Yes"
10010,"Team D",2021-09-21,115.705759573539,4,0,"Yes"
10010,"Team D",2021-09-28,115.96697064325,6,0,"Yes"
10010,"Team D",2021-10-05,116.391644526685,1,0,"Yes"
10010,"Team D",2021-10-12,117.751180577345,3,0,"Yes"
10010,"Team D",2021-10-19,118.851942237828,3,0,"No"
10010,"Team D",2021-10-26,119.827835094245,0,0,"No"
10011,"Team N",2021-06-01,111.545028923165,5,1,"No"
10011,"Team N",2021-06-08,112.512862065541,3,0,"Yes"
10011,"Team N",2021-06-15,113.563204859978,7,0,"Yes"
10011,"Team N",2021-06-22,114.220916661173,5,0,"Yes"
10011,"Team N",2021-06-29,116.437669297194,3,0,"Yes"
10011,"Team N",2021-07-06,117.610198688781,5,0,"Yes"
10011,"Team N",2021-07-13,116.365964542617,6,0,"Yes"
10011,"Team N",2021-07-20,116.322136811786,0,0,"Yes"
10011,"Team N",2021-07-27,115.155781033308,0,0,"Yes"
10011,"Team N",2021-08-03,113.342844924858,1,0,"Yes"
10011,"Team N",2021-08-10,116.006839908108,5,0,"Yes"
10011,"Team N",2021-08-17,115.232168348012,4,0,"Yes"
10011,"Team N",2021-08-24,115.157352714039,7,0,"Yes"
10011,"Team N",2021-08-31,114.274464538554,12,0,"Yes"
10011,"Team N",2021-09-07,116.676232402339,6,0,"Yes"
10011,"Team N",2021-09-14,115.365807018542,10,0,"Yes"
10011,"Team N",2021-09-21,115.717356438249,7,0,"Yes"
10011,"Team N",2021-09-28,115.618029453075,5,0,"No"
10011,"Team N",2021-10-05,117.624752440753,1,1,"Yes"
10011,"Team N",2021-10-12,119.428824098936,7,0,"No"
10011,"Team N",2021-10-19,116.9879958236,0,0,"Yes"
10011,"Team N",2021-10-26,119.065593670267,4,0,"No"
10012,"Team A",2021-06-01,112.792419993572,7,0,"No"
10012,"Team A",2021-06-08,111.927587969572,4,0,"Yes"
10012,"Team A",2021-06-15,112.638199335128,6,0,"Yes"
10012,"Team A",2021-06-22,111.908396911677,3,0,"No"
10012,"Team A",2021-06-29,114.035275544387,3,1,"Yes"
10012,"Team A",2021-07-06,116.571729447535,3,1,"Yes"
10012,"Team A",2021-07-13,115.627396246734,5,0,"Yes"
10012,"Team A",2021-07-20,115.07750596566,5,0,"Yes"
10012,"Team A",2021-07-27,114.259600839468,5,0,"Yes"
10012,"Team A",2021-08-03,115.903198963288,4,0,"Yes"
10012,"Team A",2021-08-10,116.010151905756,4,0,"Yes"
10012,"Team A",2021-08-17,115.280208523893,3,0,"No"
10012,"Team A",2021-08-24,114.532153113995,2,0,"Yes"
10012,"Team A",2021-08-31,116.120189042916,3,0,"Yes"
10012,"Team A",2021-09-07,116.711612066821,3,0,"No"
10012,"Team A",2021-09-14,114.824647725904,5,0,"Yes"
10012,"Team A",2021-09-21,116.317914858078,6,0,"Yes"
10012,"Team A",2021-09-28,114.77069526249,3,0,"No"
10012,"Team A",2021-10-05,116.606436434948,2,0,"No"
10012,"Team A",2021-10-12,117.576060793474,5,0,"Yes"
10012,"Team A",2021-10-19,119.535068634554,3,0,"No"
10012,"Team A",2021-10-26,120.912905571976,2,1,"No"
10013,"Team I",2021-06-01,109.575809350072,4,0,"No"
10013,"Team I",2021-06-08,115.036062575915,4,0,"Yes"
10013,"Team I",2021-06-15,112.576339797825,5,0,"Yes"
10013,"Team I",2021-06-22,116.336147638867,5,0,"No"
10013,"Team I",2021-06-29,115.541598314735,4,0,"No"
10013,"Team I",2021-07-06,116.038477126357,6,0,"No"
10013,"Team I",2021-07-13,114.087296281093,3,0,"No"
10013,"Team I",2021-07-20,116.386577021641,7,0,"No"
10013,"Team I",2021-07-27,115.254551119718,1,0,"Yes"
10013,"Team I",2021-08-03,117.852455558317,6,0,"Yes"
10013,"Team I",2021-08-10,115.935726143293,1,0,"Yes"
10013,"Team I",2021-08-17,116.363779068037,7,0,"Yes"
10013,"Team I",2021-08-24,114.451350805653,4,0,"Yes"
10013,"Team I",2021-08-31,115.062015159422,7,0,"No"
10013,"Team I",2021-09-07,115.011150714868,6,0,"Yes"
10013,"Team I",2021-09-14,115.266321308149,8,0,"No"
10013,"Team I",2021-09-21,114.434496153783,6,0,"Yes"
10013,"Team I",2021-09-28,114.663372009512,2,0,"Yes"
10013,"Team I",2021-10-05,117.299028644395,10,0,"No"
10013,"Team I",2021-10-12,117.192211722534,5,0,"Yes"
10013,"Team I",2021-10-19,116.947575181837,3,0,"No"
10013,"Team I",2021-10-26,119.934115325209,5,0,"Yes"
10014,"Team J",2021-06-01,110.130948001162,7,0,"Yes"
10014,"Team J",2021-06-08,112.744866419157,7,0,"Yes"
10014,"Team J",2021-06-15,112.60963224572,8,0,"Yes"
10014,"Team J",2021-06-22,112.237160215376,4,0,"Yes"
10014,"Team J",2021-06-29,115.38800164652,4,0,"Yes"
10014,"Team J",2021-07-06,114.08188225927,4,0,"No"
10014,"Team J",2021-07-13,115.043562158181,2,0,"Yes"
10014,"Team J",2021-07-20,115.802492207749,5,0,"Yes"
10014,"Team J",2021-07-27,114.987091469039,10,0,"Yes"
10014,"Team J",2021-08-03,115.874880666788,9,0,"Yes"
10014,"Team J",2021-08-10,117.107215805405,1,0,"Yes"
10014,"Team J",2021-08-17,114.82006603873,11,0,"Yes"
10014,"Team J",2021-08-24,115.748742025278,2,0,"Yes"
10014,"Team J",2021-08-31,116.270623053489,7,0,"Yes"
10014,"Team J",2021-09-07,113.929882047221,1,0,"No"
10014,"Team J",2021-09-14,115.98195744323,11,0,"No"
10014,"Team J",2021-09-21,115.429138513249,4,0,"No"
10014,"Team J",2021-09-28,116.08340946577,1,0,"Yes"
10014,"Team J",2021-10-05,118.748793511478,3,0,"Yes"
10014,"Team J",2021-10-12,117.579831670793,3,0,"No"
10014,"Team J",2021-10-19,120.695045442318,7,0,"Yes"
10014,"Team J",2021-10-26,118.994490370864,7,0,"Yes"
10015,"Team E",2021-06-01,110.316276350149,5,0,"Yes"
10015,"Team E",2021-06-08,112.477799378756,1,0,"No"
10015,"Team E",2021-06-15,113.590314162995,6,0,"Yes"
10015,"Team E",2021-06-22,113.558533320292,0,0,"No"
10015,"Team E",2021-06-29,113.767690144589,2,0,"Yes"
10015,"Team E",2021-07-06,115.354200672093,9,0,"Yes"
10015,"Team E",2021-07-13,115.852125485815,3,0,"No"
10015,"Team E",2021-07-20,114.597567786096,5,0,"No"
10015,"Team E",2021-07-27,117.270824679928,5,0,"Yes"
10015,"Team E",2021-08-03,114.974483845024,8,1,"Yes"
10015,"Team E",2021-08-10,114.738813317185,8,0,"No"
10015,"Team E",2021-08-17,114.11372377873,3,0,"Yes"
10015,"Team E",2021-08-24,114.355736087649,5,0,"Yes"
10015,"Team E",2021-08-31,115.008242735869,7,0,"No"
10015,"Team E",2021-09-07,114.015940548834,6,0,"Yes"
10015,"Team E",2021-09-14,115.312220046438,4,0,"Yes"
10015,"Team E",2021-09-21,112.963687017628,7,0,"No"
10015,"Team E",2021-09-28,117.732727567706,1,0,"No"
10015,"Team E",2021-10-05,117.224643762706,7,0,"No"
10015,"Team E",2021-10-12,117.167220405058,4,0,"Yes"
10015,"Team E",2021-10-19,118.547289398091,4,0,"Yes"
10015,"Team E",2021-10-26,117.981946282373,6,0,"Yes"
10016,"Team A",2021-06-01,112.439727492463,2,0,"No"
10016,"Team A",2021-06-08,111.401905246605,4,0,"Yes"
10016,"Team A",2021-06-15,116.07337741037,2,0,"No"
10016,"Team A",2021-06-22,114.999094421096,2,0,"No"
10016,"Team A",2021-06-29,114.100827265429,3,0,"Yes"
10016,"Team A",2021-07-06,115.979295249891,3,0,"Yes"
10016,"Team A",2021-07-13,114.681745845252,8,0,"No"
10016,"Team A",2021-07-20,116.102982016895,4,0,"Yes"
10016,"Team A",2021-07-27,117.59510712774,5,1,"No"
10016,"Team A",2021-08-03,115.086486003028,2,0,"Yes"
10016,"Team A",2021-08-10,115.851616636385,9,0,"Yes"
10016,"Team A",2021-08-17,115.592808402851,6,0,"Yes"
10016,"Team A",2021-08-24,115.627985817719,3,0,"No"
10016,"Team A",2021-08-31,113.402073087754,4,0,"Yes"
10016,"Team A",2021-09-07,114.273516364564,4,0,"Yes"
10016,"Team A",2021-09-14,115.926032087723,4,0,"Yes"
10016,"Team A",2021-09-21,116.99435963143,6,0,"No"
10016,"Team A",2021-09-28,117.234046068049,5,0,"Yes"
10016,"Team A",2021-10-05,117.448579071376,7,0,"Yes"
10016,"Team A",2021-10-12,119.182485107559,5,0,"Yes"
10016,"Team A",2021-10-19,118.033253311311,3,0,"Yes"
10016,"Team A",2021-10-26,120.482918809828,4,0,"Yes"
10017,"Team E",2021-06-01,110.122250642579,6,0,"No"
10017,"Team E",2021-06-08,112.544174842823,8,0,"No"
10017,"Team E",2021-06-15,112.934426128916,1,0,"Yes"
10017,"Team E",2021-06-22,115.44117905983,3,0,"No"
10017,"Team E",2021-06-29,114.455782395466,4,0,"No"
10017,"Team E",2021-07-06,115.669107629571,4,0,"No"
10017,"Team E",2021-07-13,114.456239380125,8,0,"Yes"
10017,"Team E",2021-07-20,116.004814204245,10,0,"Yes"
10017,"Team E",2021-07-27,116.673002081569,4,0,"Yes"
10017,"Team E",2021-08-03,115.370911395015,5,0,"Yes"
10017,"Team E",2021-08-10,114.58739441537,2,0,"Yes"
10017,"Team E",2021-08-17,112.647221596562,6,0,"No"
10017,"Team E",2021-08-24,114.130947912764,7,0,"Yes"
10017,"Team E",2021-08-31,115.551999556886,5,0,"No"
10017,"Team E",2021-09-07,116.333918264029,3,0,"Yes"
10017,"Team E",2021-09-14,116.217508771137,8,0,"Yes"
10017,"Team E",2021-09-21,117.322302458952,3,0,"Yes"
10017,"Team E",2021-09-28,116.712064680788,6,0,"No"
10017,"Team E",2021-10-05,116.82816714133,4,0,"Yes"
10017,"Team E",2021-10-12,117.975204531139,5,0,"Yes"
10017,"Team E",2021-10-19,118.768029720598,9,0,"Yes"
10017,"Team E",2021-10-26,119.298570007692,5,0,"Yes"
10018,"Team Z",2021-06-01,110.022537572485,8,0,"Yes"
10018,"Team Z",2021-06-08,110.52683376612,6,1,"Yes"
10018,"Team Z",2021-06-15,112.452761053922,4,0,"Yes"
10018,"Team Z",2021-06-22,114.720677886699,5,0,"Yes"
10018,"Team Z",2021-06-29,114.830265719937,3,0,"Yes"
10018,"Team Z",2021-07-06,114.784361480096,5,1,"No"
10018,"Team Z",2021-07-13,115.116169193091,7,0,"Yes"
10018,"Team Z",2021-07-20,115.344277885351,9,0,"No"
10018,"Team Z",2021-07-27,115.266855386222,7,0,"Yes"
10018,"Team Z",2021-08-03,115.631462612334,4,0,"Yes"
10018,"Team Z",2021-08-10,115.597803109376,1,0,"Yes"
10018,"Team Z",2021-08-17,116.182298404949,6,0,"Yes"
10018,"Team Z",2021-08-24,114.405825996841,6,0,"Yes"
10018,"Team Z",2021-08-31,116.841123163407,2,0,"Yes"
10018,"Team Z",2021-09-07,116.616488047727,4,0,"No"
10018,"Team Z",2021-09-14,113.805265325622,3,0,"Yes"
10018,"Team Z",2021-09-21,114.324885487272,6,0,"Yes"
10018,"Team Z",2021-09-28,116.845249287843,6,0,"Yes"
10018,"Team Z",2021-10-05,117.968797688805,5,0,"Yes"
10018,"Team Z",2021-10-12,117.736200385716,5,0,"Yes"
10018,"Team Z",2021-10-19,117.372962493187,3,0,"Yes"
10018,"Team Z",2021-10-26,118.892559544595,4,0,"Yes"
10019,"Team Z",2021-06-01,112.439974439991,2,0,"Yes"
10019,"Team Z",2021-06-08,110.884431167128,9,0,"Yes"
10019,"Team Z",2021-06-15,113.419463141514,6,0,"Yes"
10019,"Team Z",2021-06-22,113.976174572088,6,0,"Yes"
10019,"Team Z",2021-06-29,116.129324737138,5,0,"Yes"
10019,"Team Z",2021-07-06,114.809555249196,5,0,"Yes"
10019,"Team Z",2021-07-13,115.836967800013,6,0,"No"
10019,"Team Z",2021-07-20,117.952970534707,8,0,"Yes"
10019,"Team Z",2021-07-27,115.26856966799,4,0,"No"
10019,"Team Z",2021-08-03,116.737275738784,4,0,"Yes"
10019,"Team Z",2021-08-10,115.104420095944,4,0,"No"
10019,"Team Z",2021-08-17,116.639182238772,3,0,"Yes"
10019,"Team Z",2021-08-24,115.468159699504,6,0,"No"
10019,"Team Z",2021-08-31,115.529023766626,6,0,"Yes"
10019,"Team Z",2021-09-07,116.966475806543,5,0,"Yes"
10019,"Team Z",2021-09-14,115.308048503234,6,0,"Yes"
10019,"Team Z",2021-09-21,113.340479329622,9,0,"Yes"
10019,"Team Z",2021-09-28,117.23108994053,3,0,"No"
10019,"Team Z",2021-10-05,116.824885436952,5,0,"Yes"
10019,"Team Z",2021-10-12,115.801783989015,6,0,"Yes"
10019,"Team Z",2021-10-19,119.235396686274,2,0,"Yes"
10019,"Team Z",2021-10-26,121.73718405615,2,0,"No"
10020,"Team G",2021-06-01,109.80197918518,2,0,"Yes"
10020,"Team G",2021-06-08,111.678086578025,11,0,"No"
10020,"Team G",2021-06-15,113.929422268895,3,0,"Yes"
10020,"Team G",2021-06-22,113.445716088015,10,0,"Yes"
10020,"Team G",2021-06-29,115.624188445852,9,0,"Yes"
10020,"Team G",2021-07-06,115.107843578457,3,0,"No"
10020,"Team G",2021-07-13,117.223618550386,5,0,"Yes"
10020,"Team G",2021-07-20,116.860231492447,9,0,"No"
10020,"Team G",2021-07-27,117.370908781445,3,0,"No"
10020,"Team G",2021-08-03,115.501884636924,5,0,"Yes"
10020,"Team G",2021-08-10,114.356608810345,5,0,"No"
10020,"Team G",2021-08-17,113.181910072208,7,0,"No"
10020,"Team G",2021-08-24,115.801263911873,3,1,"Yes"
10020,"Team G",2021-08-31,113.940593915467,7,0,"Yes"
10020,"Team G",2021-09-07,114.887153288543,4,0,"No"
10020,"Team G",2021-09-14,117.229097475646,4,0,"No"
10020,"Team G",2021-09-21,115.727909965135,5,0,"No"
10020,"Team G",2021-09-28,117.388989606523,6,0,"Yes"
10020,"Team G",2021-10-05,114.596805817292,4,0,"Yes"
10020,"Team G",2021-10-12,117.0494646096,4,0,"Yes"
10020,"Team G",2021-10-19,117.368096376613,3,0,"Yes"
10020,"Team G",2021-10-26,120.821039242212,3,0,"No"
10021,"Team C",2021-06-01,110.893768372462,7,0,"Yes"
10021,"Team C",2021-06-08,112.543189996824,4,0,"No"
